	F_Day_0_DSS_D	O_Day_0_DSS_D	O_Day_3_DSS_D	F_Day_7_DSS_D	F_Day_3_DSS_D	O_Day_7_DSS_D
ASV_3613	0	0	0	3	1	18
ASV_3618	0	0	0	0	2	0
ASV_3621	0	0	0	4	19	3
ASV_3622	15	0	0	0	0	0
ASV_3630	28	0	0	0	10	0
ASV_3631	0	0	0	2	3	3
ASV_3636	0	0	0	0	0	1
ASV_365	0	0	0	13	17	96
ASV_3650	0	1532	279	0	0	0
ASV_3657	0	0	0	0	6	0
ASV_3659	0	129	38	0	0	0
ASV_367	0	0	166	0	0	0
ASV_369	30	0	0	24	81	40
ASV_37	2	0	0	0	0	0
ASV_370	0	0	175	48	202	150
ASV_3703	0	0	0	1	1	1
ASV_371	0	0	0	0	25	38
ASV_3718	192	0	0	19	76	0
ASV_372	0	0	140	47	79	291
ASV_3739	0	0	48	0	0	0
ASV_374	0	705	49	0	0	6
ASV_3750	0	0	0	0	1	1
ASV_3799	0	0	0	0	19	0
ASV_380	0	0	168	1446	2777	1629
ASV_381	0	0	48	0	0	0
ASV_382	4	0	0	0	0	0
ASV_385	0	0	0	11	35	25
ASV_3867	0	0	0	11	16	1
ASV_389	0	0	0	0	0	340
ASV_3892	0	0	0	0	2	0
ASV_39	0	0	0	29	0	102
ASV_390	0	0	0	0	0	12
ASV_391	0	0	0	26	0	448
ASV_3915	0	0	96	0	0	0
ASV_3918	6	0	0	44	8	44
ASV_3930	46	0	0	21	0	0
ASV_3941	15	0	0	0	12	0
ASV_3960	74	0	0	3300	107	545
ASV_3975	2	0	0	2	0	0
ASV_398	0	0	0	36	29	0
ASV_3987	5	0	0	14	4	562
ASV_4	4339	0	5407	54371	27825	132680
ASV_40	51	0	0	202	80	788
ASV_4018	20	0	0	7	4	0
ASV_4022	0	0	0	0	0	8
ASV_4032	0	0	33	197	53	150
ASV_408	0	0	0	0	143	0
ASV_409	24	0	0	34	62	41
ASV_4094	0	49	0	0	0	0
ASV_41	0	592	377	0	0	19
ASV_413	0	0	37	0	0	10
ASV_4138	0	358	0	0	0	0
ASV_417	0	6	0	0	0	0
ASV_4174	0	0	0	4	0	2
ASV_4181	0	0	1051	0	0	0
ASV_419	0	161	0	0	0	0
ASV_42	167	0	84	0	0	0
ASV_424	0	0	0	0	0	2
ASV_425	4	0	0	10	10	12
ASV_43	0	0	0	13	155	65
ASV_432	0	0	0	0	9	13
ASV_439	75	0	0	6	19	0
ASV_44	0	0	0	489	8	3192
ASV_4434	4	0	117	16	15	20
