	F_Day_0_Abx_E	O_Day_0_Abx_E	O_Day_3_Abx_E	F_Day_7_Abx_E	O_Day_7_Abx_E	F_Day_3_Abx_E
ASV_11578	0	0	0	0	0	20
ASV_11579	0	0	0	0	0	16
ASV_11586	0	15	0	0	0	0
ASV_11598	0	0	14	0	0	0
ASV_11599	0	0	11	0	0	0
ASV_116	108	0	0	20	0	547
ASV_11600	0	0	17	0	0	0
ASV_11601	0	0	12	0	0	0
ASV_11637	0	0	0	4	0	0
ASV_11644	0	10	0	0	0	0
ASV_11645	0	6	0	0	0	0
ASV_11646	0	6	0	0	0	0
ASV_11663	0	0	11	0	0	0
ASV_11664	0	0	6	0	0	0
ASV_11679	0	0	0	0	11	0
ASV_11680	0	0	0	0	10	0
ASV_11681	0	0	0	0	10	0
ASV_1169	0	0	0	0	0	2
ASV_11693	5	0	0	0	0	0
ASV_117	0	0	0	0	0	52
ASV_11702	0	0	0	0	0	10
ASV_11703	0	0	0	0	0	5
ASV_11704	0	0	0	0	0	5
ASV_11712	0	5	0	0	0	0
ASV_11714	0	10	0	0	0	0
ASV_11715	0	8	0	0	0	0
ASV_11730	0	0	12	0	0	0
ASV_11759	0	0	0	0	5	0
ASV_11760	0	0	0	0	7	0
ASV_1178	0	0	0	2	0	0
ASV_11795	0	10	0	0	0	0
ASV_11796	0	4	0	0	0	0
ASV_11797	0	4	0	0	0	0
ASV_118	0	0	0	0	0	96
ASV_11822	0	0	10	0	0	0
ASV_11823	0	0	11	0	0	0
ASV_11824	0	0	4	0	0	0
ASV_11839	0	0	0	0	4	0
ASV_11854	6	0	0	0	0	0
ASV_11862	0	0	0	0	0	3
ASV_11863	0	0	0	0	0	3
ASV_11864	0	0	0	0	0	10
ASV_11875	0	0	0	3	0	0
ASV_11883	0	3	0	0	0	0
ASV_119	575	0	0	12	7	6933
ASV_11942	2	0	0	0	0	0
ASV_11952	0	0	0	0	0	2
ASV_11969	0	2	0	0	0	0
ASV_12031	0	0	0	0	1	0
ASV_12043	0	0	0	0	0	22
ASV_12045	0	0	0	0	0	47
ASV_12052	0	0	0	0	0	31
ASV_12054	1	0	0	0	0	0
ASV_12056	0	0	0	0	0	13
ASV_12063	0	20	0	0	0	0
ASV_12073	0	0	0	0	0	16
ASV_12096	0	0	0	0	0	11
ASV_12099	0	10	0	0	0	0
ASV_121	0	0	0	5	0	108
ASV_1212	0	6	162	0	38	185
ASV_12136	0	0	0	0	0	6
ASV_12170	0	4	0	0	0	0
ASV_12171	0	4	0	0	0	0
ASV_12184	0	0	0	0	4	0
ASV_1225	0	0	0	0	0	5
ASV_12266	1	0	0	0	0	0
ASV_12267	1	0	0	0	0	0
ASV_12268	1	0	0	0	0	0
ASV_12286	0	1	0	0	0	0
ASV_12287	0	1	0	0	0	0
ASV_124	445	14	0	28	0	402
ASV_125	0	301	30	0	0	53
ASV_1258	0	213	48	0	0	0
ASV_126	61	0	0	7	0	0
ASV_129	166	0	0	26	0	423
ASV_13	0	1763	172	23	0	7057
ASV_130	513	0	0	8	0	105
ASV_131	27	0	0	10	0	0
ASV_1318	0	55	44	0	0	0
ASV_1324	0	95	0	0	13	0
ASV_1364	23	0	0	0	0	141
ASV_137	20	0	0	0	0	47
ASV_1394	0	0	0	0	0	52
ASV_14	8	14481	710	133	254	29176
ASV_140	112	0	0	0	0	0
ASV_141	0	594	0	0	0	0
ASV_142	122	0	0	29	0	846
ASV_146	0	0	0	0	0	104
ASV_147	126	0	0	18	0	465
ASV_148	108	0	0	16	0	210
ASV_149	0	0	0	0	0	515
ASV_150	53	0	0	0	0	13
ASV_1511	0	63	0	0	0	0
ASV_152	17	0	0	0	0	41
ASV_1527	2	0	0	0	0	0
ASV_155	206	0	0	0	0	63
ASV_156	20	0	0	3	0	0
ASV_158	20	0	0	0	0	107
ASV_159	0	29	0	0	0	0
ASV_161	0	0	0	9	0	139
ASV_162	100	0	0	0	0	0
ASV_163	0	0	0	0	0	25
ASV_164	16	0	0	0	0	0
ASV_166	28	0	0	0	0	0
ASV_1670	0	0	0	0	0	121
ASV_168	0	0	0	0	0	36
ASV_169	192	0	0	23	12	369
ASV_17	133	0	0	0	0	0
ASV_1707	0	146	0	0	0	34
ASV_1709	0	159	0	0	0	0
ASV_1718	0	0	0	0	0	31
ASV_172	83	0	0	25	0	184
ASV_1736	0	0	0	4	0	0
ASV_174	11	0	0	0	0	24
ASV_175	130	0	31	0	0	59
ASV_177	0	0	0	0	0	22
ASV_178	67	0	0	6	0	83
ASV_1784	0	0	17	0	0	0
ASV_1787	0	206	0	0	0	0
ASV_179	16	8	0	0	0	0
ASV_180	0	22	12	0	0	26
ASV_1801	0	0	0	0	0	379
ASV_181	0	0	0	0	0	48
ASV_1814	0	112	0	0	0	0
ASV_182	193	0	0	45	0	288
ASV_1823	0	811	171	18	0	1732
ASV_184	1145	0	0	10	0	1123
ASV_1849	0	97	0	0	0	0
ASV_185	0	0	0	0	0	123
ASV_186	0	0	0	0	0	105
ASV_187	0	0	0	0	6	616
ASV_1877	0	0	0	0	0	243
ASV_188	181	0	0	4	0	97
ASV_189	74	0	0	0	0	303
ASV_1899	0	92	0	0	0	0
ASV_1903	0	0	0	0	0	77
ASV_191	0	0	0	0	0	43
ASV_1912	0	0	8	0	0	48
ASV_1919	0	0	0	0	0	35
ASV_1930	1	0	0	0	0	0
ASV_1962	0	9	0	0	0	0
ASV_1978	0	21	0	0	0	0
ASV_2	1569	1939	50	139	32	7246
ASV_2009	99	0	0	16	0	182
ASV_201	0	16	0	0	0	0
ASV_203	0	61	0	0	0	80
ASV_2065	19	0	0	0	0	0
ASV_208	0	55	5	0	0	0
ASV_2082	0	0	34	0	0	0
ASV_209	6	0	0	0	0	45
ASV_21	29	0	9	182	24	2929
ASV_210	40	0	0	0	0	102
ASV_2104	0	140	0	0	0	0
ASV_2109	0	57	0	0	0	559
ASV_211	1228	0	0	0	6	153
ASV_212	91	0	0	0	0	0
ASV_213	20	0	0	0	0	0
ASV_215	0	0	0	0	0	9
ASV_216	250	0	0	34	0	59
ASV_2170	0	0	0	0	0	36
ASV_2188	0	0	56	0	0	0
ASV_22	324	0	0	0	0	30
ASV_220	4	0	0	0	0	0
ASV_223	0	85	0	0	0	72
ASV_224	116	0	0	34	0	265
ASV_225	54	0	0	0	0	102
ASV_226	28	0	0	3	0	0
ASV_227	0	0	0	0	0	43
ASV_228	203	0	0	34	0	54
ASV_2307	7	0	0	0	0	103
