	KP_Exp_8_D0_AVN3	KP_Exp_8_D0_OR_AVN3	KP_Exp_8_D8_AVN3
ASV_5628	11	0	0
ASV_563	0	0	37
ASV_5634	0	0	84
ASV_565	0	0	38
ASV_5675	0	0	89
ASV_5688	11	0	0
ASV_569	0	0	38
ASV_5697	0	11	0
ASV_5704	9	0	0
ASV_5721	25	0	0
ASV_5728	0	0	35
ASV_5741	0	4	0
ASV_5745	0	0	14
ASV_575	0	0	38
ASV_5751	0	0	440
ASV_5767	0	0	30
ASV_579	10	0	0
ASV_5804	0	0	14
ASV_5809	19	0	0
ASV_581	0	0	15
ASV_584	229	0	0
ASV_5847	0	0	201
ASV_5848	0	0	11
ASV_585	24	0	0
ASV_588	0	3	0
ASV_5884	0	0	53
ASV_5888	0	0	6
ASV_5895	0	0	152
ASV_59	47	0	0
ASV_590	0	0	29
ASV_5905	0	0	22
ASV_592	0	0	12
ASV_5940	0	0	15
ASV_5957	0	0	12
ASV_5961	0	0	7
ASV_598	0	0	61
ASV_5994	47	0	0
ASV_6	986	18	2
ASV_600	0	0	5
ASV_602	0	0	26
ASV_6039	0	0	12
ASV_605	0	0	16
ASV_606	0	0	28
ASV_6063	0	0	15
ASV_6070	0	0	42
ASV_6073	0	0	41
ASV_608	0	0	43
ASV_6086	0	0	3
ASV_6087	0	0	16
ASV_6093	0	0	9
ASV_61	57	0	0
ASV_610	0	0	30
ASV_6118	0	0	3
ASV_6125	0	0	11
ASV_6141	0	0	6
ASV_615	0	0	14
ASV_6152	0	0	27
ASV_6167	0	0	25
ASV_6180	0	0	5
ASV_6192	0	0	13
ASV_6199	0	0	11
ASV_6203	0	0	21
ASV_6208	0	20	0
ASV_6215	0	0	11
ASV_6216	0	0	6
ASV_6232	0	0	4
ASV_6262	0	0	17
ASV_6263	0	0	17
ASV_627	0	0	78
ASV_6282	0	0	7
ASV_6290	0	0	16
ASV_6291	0	0	16
ASV_63	58	0	0
ASV_6305	0	0	1
ASV_6314	0	0	9
ASV_6315	0	0	5
ASV_635	218	0	0
ASV_6357	0	0	14
ASV_6358	0	0	10
ASV_64	26	0	0
ASV_6410	0	0	12
ASV_6411	0	0	12
ASV_645	0	0	3
ASV_6466	0	0	11
ASV_65	11	0	0
ASV_652	4	0	0
ASV_6524	0	0	3
ASV_6526	0	0	4
ASV_6533	0	0	4
ASV_6534	0	0	10
ASV_6535	0	0	10
ASV_6536	0	0	5
ASV_656	0	0	10
ASV_6584	0	0	9
ASV_6585	0	0	9
ASV_6586	0	0	9
ASV_6587	0	0	9
ASV_6588	0	0	9
ASV_6589	0	0	4
ASV_659	0	0	15
ASV_661	0	0	107
ASV_664	0	0	10
ASV_6672	0	0	8
ASV_6673	0	0	8
ASV_6674	0	0	8
ASV_6675	0	0	8
ASV_6676	0	0	8
ASV_6677	0	0	8
ASV_6678	0	0	8
ASV_6679	0	0	8
ASV_67	105	6	0
ASV_6770	0	0	7
ASV_6771	0	0	7
ASV_6772	0	0	7
ASV_679	0	0	147
ASV_68	16	0	0
ASV_685	0	0	18
ASV_69	14	0	0
ASV_6907	0	0	6
ASV_6908	0	0	6
ASV_6909	0	0	6
ASV_691	113	0	0
ASV_6910	0	0	6
ASV_6911	0	0	6
ASV_6912	0	0	6
ASV_6913	0	0	6
ASV_6914	0	0	3
ASV_695	0	0	16
ASV_697	0	0	15
ASV_698	0	0	22
ASV_6998	0	5	0
ASV_7	2782	424	24
ASV_70	7	0	0
ASV_704	0	0	5
ASV_7061	0	0	5
ASV_7062	0	0	5
ASV_7063	0	0	5
ASV_7064	0	0	5
ASV_7065	0	0	5
ASV_7066	0	0	5
ASV_7067	0	0	5
ASV_7068	0	0	5
ASV_7069	0	0	5
ASV_707	0	0	19
ASV_708	0	0	16
ASV_71	18	0	0
ASV_710	0	0	34
ASV_72	56	0	0
ASV_720	0	0	25
ASV_7231	0	0	4
ASV_7232	0	0	4
ASV_7233	0	0	4
ASV_7234	0	0	4
ASV_7235	0	0	4
ASV_73	11	0	0
ASV_733	0	0	2137
ASV_74	238	0	0
ASV_7409	0	0	3
ASV_7410	0	0	3
ASV_7411	0	0	3
ASV_7412	0	0	3
ASV_7413	0	0	3
ASV_7414	0	0	3
ASV_7416	0	0	3
ASV_7417	0	0	3
ASV_7418	0	0	3
ASV_75	0	0	515
ASV_7580	0	0	2
ASV_7581	0	0	2
ASV_7582	0	0	2
ASV_7583	0	0	2
ASV_76	32	0	0
ASV_760	0	0	7
ASV_765	7	0	0
ASV_767	0	0	9
ASV_769	0	0	9
ASV_770	0	0	15
ASV_7720	0	0	1
ASV_7721	0	0	1
ASV_775	0	0	18
ASV_779	98	0	0
ASV_780	0	0	4
ASV_80	10	0	0
