	F_Day_0_DSS_E	O_Day_0_DSS_E	O_Day_7_DSS_E	F_Day_3_DSS_E	F_Day_7_DSS_E
ASV_74	0	0	0	142	0
ASV_740	63	0	76	0	0
ASV_741	0	0	0	4	0
ASV_7456	0	16	0	0	0
ASV_750	10	0	1	49	0
ASV_756	75	0	113	61	0
ASV_7570	0	0	5	0	0
ASV_76	427	0	0	24	0
ASV_765	2	0	18	0	0
ASV_7663	0	0	7	0	0
ASV_77	90	0	38	4	0
ASV_772	0	0	6	0	0
ASV_7763	592	0	0	0	0
ASV_7765	63	0	148	0	0
ASV_7766	13875	65	5915	2011	0
ASV_7767	3	0	0	0	0
ASV_7779	301	0	3525	1989	0
ASV_779	62	0	404	683	0
ASV_7794	2	0	303	0	0
ASV_7798	4	0	24	0	0
ASV_7799	97	0	0	70	0
ASV_7813	0	0	166	46	0
ASV_782	0	0	25	0	0
ASV_7870	0	682	0	0	0
ASV_79	139	0	87	0	0
ASV_7973	0	0	201	0	0
ASV_80	340	0	84	55	0
ASV_804	104	0	48	29	0
ASV_805	0	15	0	0	0
ASV_8100	248	8	407	33	0
ASV_8118	19	0	0	13	0
ASV_8229	0	0	1	5	0
ASV_8260	0	0	37	0	0
ASV_829	44	0	173	16	0
ASV_835	83	0	213	24	0
ASV_836	0	0	9	0	0
ASV_8391	1	0	0	0	0
ASV_8425	5	0	1	4	0
ASV_8517	0	0	8	0	0
ASV_8520	7	0	2	0	0
ASV_8521	3	0	1	0	0
ASV_86	9648	0	95407	32455	11
ASV_866	12	0	0	0	0
ASV_87	218	0	280	65	0
ASV_879	0	0	67	18	0
ASV_884	0	0	19	0	0
ASV_89	23	0	38	0	0
ASV_8948	0	0	15	0	0
ASV_90	164	0	127	0	0
ASV_901	0	0	73	0	0
ASV_9091	0	0	1	3	0
ASV_913	678	0	0	0	0
ASV_9155	0	0	0	15	0
ASV_921	670	0	0	0	0
ASV_9268	0	123	3	0	0
ASV_93	75	0	0	0	0
ASV_933	0	0	7	0	0
ASV_9478	0	0	1	0	0
ASV_95	311	0	0	1423	0
ASV_950	5	0	2	6	0
ASV_9599	0	0	3	0	0
ASV_9667	7	0	25	0	0
ASV_9668	4	41	25	0	0
ASV_9673	0	0	20	0	0
ASV_9674	0	0	39	0	0
ASV_9676	0	0	14	0	0
ASV_9678	0	286	0	0	0
ASV_9684	0	0	19	0	0
ASV_9685	0	222	0	54	0
ASV_9688	0	0	17	0	0
ASV_9693	0	110	0	0	0
ASV_9721	3	83	5	0	0
ASV_9776	0	14	0	0	0
ASV_979	21	0	0	0	0
ASV_98	48	0	0	0	0
ASV_9822	0	0	5	0	0
ASV_9846	0	0	7	0	0
ASV_985	11	0	16	7	0
ASV_9851	0	28	0	0	0
ASV_99	0	0	1718	0	0
ASV_9916	16	0	22	0	0
ASV_9936	0	188	0	0	0
ASV_9947	0	0	9	0	0
ASV_9958	0	0	4	0	0
ASV_9968	0	367	0	0	0
