	F_Day_0_Control_E	O_Day_0_Control_E	F_Day_3_Control_E	O_Day_3_Control_E	F_Day_7_Control_E
ASV_3703	0	0	1	0	0
ASV_371	0	0	0	12	25
ASV_3715	0	0	0	3	0
ASV_3718	42	0	92	14	88
ASV_372	0	0	0	5	3
ASV_374	0	370	0	8	0
ASV_3750	0	0	0	0	2
ASV_3763	0	97	0	0	0
ASV_377	0	7	0	0	0
ASV_3799	8	0	0	0	0
ASV_380	96	0	27	0	0
ASV_382	0	0	41	0	4
ASV_3826	0	2	0	0	0
ASV_3857	0	41	0	0	0
ASV_3870	0	0	3	0	0
ASV_39	0	0	13	0	6
ASV_3918	12	0	67	0	15
ASV_3921	0	80	0	0	0
ASV_3930	0	0	128	38	108
ASV_3941	0	0	170	18	132
ASV_3960	72	0	87	0	152
ASV_3975	0	0	5	0	4
ASV_3987	30	0	74	12	45
ASV_399	0	0	6	0	0
ASV_4	13655	427	17314	967	3939
ASV_400	0	0	32	16	15
ASV_4018	12	0	98	184	138
ASV_4066	0	0	0	14	0
ASV_409	261	0	157	0	0
ASV_41	0	247	0	19	0
ASV_413	0	64	0	0	0
ASV_4156	0	0	10	0	0
ASV_4174	9	0	0	0	8
ASV_42	46	0	65	26	267
ASV_4218	0	2	0	0	0
ASV_43	0	0	0	0	28
ASV_4386	2	0	0	19	0
ASV_439	3	0	368	0	44
ASV_441	0	0	0	0	5
ASV_4434	3	0	20	20	0
ASV_4458	0	0	4	0	11
ASV_45	3	9	2	0	0
ASV_453	0	0	7	0	6
ASV_454	0	25	0	0	0
ASV_46	0	0	72	0	46
ASV_460	7	0	482	13	19
ASV_461	0	0	0	0	43
ASV_4620	7	0	0	0	0
ASV_4637	0	21	0	0	0
ASV_466	0	0	24	5	5
ASV_467	0	0	0	8	0
ASV_471	110	0	106	0	19
ASV_473	0	20	0	0	0
ASV_48	1193	0	502	204	237
ASV_481	23	0	237	20	32
ASV_486	0	0	57	26	42
ASV_49	14	0	21	0	61
ASV_4911	0	5	0	16	0
ASV_4994	3	0	7	0	0
ASV_50	65	0	124	74	147
ASV_501	0	5	0	0	0
ASV_505	347	0	1109	42	5
ASV_511	45	0	60	0	61
ASV_519	0	0	45	7	84
ASV_528	0	18	0	0	0
ASV_5292	0	0	0	0	3
ASV_53	0	175	0	36	0
ASV_534	12	0	63	26	41
ASV_539	0	0	260	0	0
ASV_54	160	0	271	0	140
ASV_544	0	0	0	0	8
ASV_547	11	0	0	0	0
ASV_55	33	0	148	4	25
ASV_552	16	0	248	11	10
ASV_5599	0	0	0	0	3
ASV_5600	0	0	2	0	0
ASV_5606	12	0	0	0	15
ASV_5657	0	0	0	8	0
ASV_566	50	0	37	0	9
ASV_5675	0	39	0	0	0
ASV_568	0	0	28	28	66
ASV_57	4	0	0	0	8
ASV_5711	4	0	4	0	11
ASV_572	22	0	231	0	24
ASV_578	135	0	1361	22	607
ASV_5782	0	0	0	0	11
ASV_580	18	0	132	0	45
ASV_581	0	0	0	8	0
ASV_5876	0	11	0	4	0
ASV_588	0	0	7	0	0
ASV_5888	0	8	0	0	0
ASV_5986	1	0	4	1	1
ASV_604	9	0	98	0	82
ASV_6045	0	0	0	7	0
ASV_6137	0	6	0	0	0
ASV_615	0	9	0	0	0
ASV_6182	0	0	0	4	0
ASV_6235	0	10	0	0	0
ASV_64	6	0	22	11	24
ASV_647	0	0	17	0	5
ASV_648	0	0	133	0	0
ASV_6536	0	0	0	12	0
ASV_654	6	0	4	0	0
ASV_655	0	0	0	0	20
ASV_656	0	79	0	5	0
ASV_658	0	0	0	0	127
ASV_659	0	18	0	0	0
ASV_661	0	13	0	0	0
ASV_663	0	0	0	0	11
ASV_67	21	0	47	20	39
ASV_68	27	0	8	0	0
ASV_683	29	0	0	0	0
ASV_6863	4	24	0	3	0
ASV_69	17	0	173	0	100
ASV_7	433	17	1506	79	85
ASV_70	23	0	73	0	8
ASV_706	0	0	17	0	0
ASV_71	42	0	71	9	51
ASV_719	0	0	24	0	91
ASV_73	0	0	122	8	0
ASV_7301	0	127	0	0	0
ASV_7395	0	55	0	0	0
ASV_740	0	0	8	0	0
ASV_75	0	23	0	0	0
ASV_750	5	0	10	0	0
ASV_756	33	0	126	7	50
ASV_76	45	0	106	92	63
ASV_765	0	0	18	0	0
ASV_77	0	0	52	0	0
ASV_7704	0	0	5	0	0
ASV_771	0	0	0	36	0
ASV_7765	0	0	28	0	0
ASV_7766	3861	132	5404	214	1293
ASV_7767	0	0	110	22	31
ASV_7779	6	0	36	0	6
ASV_779	38	0	339	0	25
ASV_7794	10	0	0	0	0
ASV_7798	0	0	0	0	5
ASV_7799	0	0	44	0	42
ASV_782	0	64	0	0	0
ASV_7835	6	0	0	0	0
ASV_7837	0	0	0	7	4
ASV_79	16	0	22	0	84
ASV_7918	0	0	9	0	0
ASV_7937	29	0	0	0	0
ASV_7962	0	0	0	6	0
ASV_80	12	0	594	8	323
ASV_804	15	0	12	0	17
ASV_812	0	0	6	0	0
ASV_816	0	0	70	0	0
ASV_8229	0	0	4	0	0
ASV_8260	0	0	0	0	5
ASV_829	7	0	11	0	39
ASV_835	7	0	36	32	50
ASV_8411	0	0	0	3	0
ASV_8424	0	0	0	0	1
ASV_8520	0	0	1	0	0
ASV_8556	33	0	0	0	0
ASV_86	669	7	17	7	3
ASV_8638	0	0	0	0	1
ASV_864	0	23	0	0	0
ASV_866	0	0	17	0	0
ASV_87	17	0	71	10	29
ASV_8755	0	0	0	0	4
ASV_8764	0	0	1	0	2
ASV_879	0	0	0	0	23
ASV_892	0	0	0	0	24
ASV_90	0	0	86	0	14
ASV_9027	0	0	2	0	0
ASV_9098	0	0	0	6	0
ASV_913	24	0	382	0	190
ASV_921	26	0	354	0	151
ASV_9268	0	5	0	6	0
ASV_93	0	0	26	0	8
ASV_932	0	0	0	0	6
ASV_933	0	0	0	13	16
ASV_943	0	0	0	10	0
ASV_95	381	6	828	4	503
ASV_950	0	0	13	0	0
ASV_959	0	19	0	0	0
ASV_9667	5	75	0	40	0
ASV_9668	0	20	0	27	0
ASV_9669	0	0	0	10	0
ASV_9674	0	31	0	0	0
ASV_9676	0	2	0	0	0
ASV_9677	0	0	0	6	0
ASV_9678	0	0	0	20	0
ASV_9684	0	4	0	0	0
ASV_9711	0	2	0	0	0
ASV_9721	0	0	0	5	0
ASV_9790	0	52	0	0	0
ASV_98	4	0	42	9	0
ASV_9822	0	16	0	0	0
ASV_985	0	0	0	0	9
ASV_9856	0	53	0	0	0
ASV_9916	14	0	0	0	0
ASV_9997	0	27	0	0	0
