	KP_Exp_8_D0_AVN2	KP_Exp_8_D0_OR_AVN2	KP_Exp_8_D8_AVN2
ASV_5697	0	700	0
ASV_5709	0	620	0
ASV_571	7	0	0
ASV_5711	1	0	0
ASV_5721	85	0	0
ASV_5741	0	409	0
ASV_575	0	0	18
ASV_5764	0	405	0
ASV_5766	200	201	0
ASV_5767	0	0	25
ASV_579	14	0	0
ASV_5797	1	0	0
ASV_5798	0	286	0
ASV_5800	13	0	0
ASV_581	0	0	68
ASV_582	0	0	16
ASV_5832	0	230	0
ASV_584	293	0	0
ASV_5848	0	0	47
ASV_5849	30	0	0
ASV_585	6	0	0
ASV_5869	29	0	0
ASV_587	32	0	0
ASV_5876	0	144	0
ASV_5889	0	160	0
ASV_590	0	0	17
ASV_5905	0	0	34
ASV_5906	12	0	0
ASV_5912	0	137	0
ASV_5913	0	0	7
ASV_5914	0	136	0
ASV_592	0	0	7
ASV_5920	0	0	23
ASV_5926	0	125	0
ASV_5948	2	0	0
ASV_5957	0	0	7
ASV_5961	0	0	4
ASV_5966	0	96	0
ASV_5970	0	0	91
ASV_5973	0	0	90
ASV_5977	0	0	61
ASV_5981	0	84	0
ASV_5984	2	0	0
ASV_5990	0	80	0
ASV_5994	29	0	0
ASV_6	1379	0	29
ASV_60	0	0	7
ASV_600	0	0	11
ASV_601	23	0	0
ASV_602	0	0	21
ASV_603	0	0	10
ASV_6044	0	0	9
ASV_6045	0	50	0
ASV_605	0	0	11
ASV_6050	1	0	0
ASV_6051	0	0	3
ASV_6053	0	0	15
ASV_606	0	0	51
ASV_6066	0	0	6
ASV_6068	0	42	0
ASV_6074	0	0	5
ASV_608	0	0	57
ASV_6098	0	36	0
ASV_61	413	0	0
ASV_610	0	0	66
ASV_6109	5	0	0
ASV_6115	9	0	0
ASV_6118	0	0	10
ASV_6119	0	32	0
ASV_6120	0	32	0
ASV_6122	0	0	5
ASV_6125	0	0	6
ASV_6138	0	0	29
ASV_6139	0	0	6
ASV_6141	0	0	9
ASV_6151	0	0	6
ASV_6157	0	0	6
ASV_616	0	0	32
ASV_6166	0	0	25
ASV_619	0	0	31
ASV_6191	0	0	22
ASV_62	70	0	0
ASV_6201	0	0	21
ASV_6202	0	0	12
ASV_6211	0	0	5
ASV_6214	0	0	20
ASV_6228	0	0	6
ASV_6239	0	0	10
ASV_6246	0	0	18
ASV_6247	0	0	12
ASV_6257	2	0	0
ASV_6259	0	0	6
ASV_6260	0	0	4
ASV_6261	0	0	17
ASV_627	0	0	68
ASV_6285	0	0	16
ASV_6286	0	0	16
ASV_6287	0	0	16
ASV_6288	0	0	16
ASV_63	232	1619	0
ASV_6313	0	0	15
ASV_6314	0	0	6
ASV_6338	3	0	0
ASV_635	284	0	0
ASV_6351	0	0	5
ASV_6355	0	0	14
ASV_6356	0	0	14
ASV_636	0	0	11
ASV_6380	0	0	13
ASV_64	7	0	0
ASV_6408	0	0	12
ASV_6409	0	0	12
ASV_6440	1	0	0
ASV_645	0	0	8
ASV_6461	0	0	11
ASV_6462	0	0	11
ASV_6463	0	0	11
ASV_6464	0	0	11
ASV_6465	0	0	6
ASV_65	6	0	0
ASV_650	0	0	16
ASV_651	0	0	13
ASV_653	0	0	17
ASV_6530	0	0	10
ASV_6531	0	0	10
ASV_6532	0	0	10
ASV_6533	0	0	6
ASV_656	0	1181	0
ASV_6582	0	0	9
ASV_6583	0	0	9
ASV_659	0	1465	14
ASV_661	0	0	89
ASV_664	0	0	22
ASV_6664	0	0	8
ASV_6665	0	0	8
ASV_6666	0	0	8
ASV_6667	0	0	8
ASV_6668	0	0	8
ASV_6669	0	0	8
ASV_6670	0	0	8
ASV_6671	0	0	8
