	F_Day_0_DSS_B	O_Day_0_DSS_B	F_Day_3_DSS_B	F_Day_7_DSS_B	O_Day_7_DSS_B	O_Day_3_DSS_B
ASV_885	0	0	0	0	40	0
ASV_89	23	0	0	0	0	0
ASV_90	113	0	0	0	0	0
ASV_901	0	0	0	9	0	0
ASV_913	20	0	0	0	0	0
ASV_921	11	0	0	0	0	0
ASV_925	0	0	0	0	0	381
ASV_9268	0	733	0	0	59	168
ASV_93	28	0	0	0	0	0
ASV_943	0	0	0	0	21	427
ASV_9437	0	0	0	0	5	0
ASV_95	45	0	35	0	0	0
ASV_9599	0	196	0	0	0	620
ASV_9667	0	1108	0	0	0	836
ASV_9668	0	1591	0	0	106	111
ASV_9669	0	1263	0	0	0	0
ASV_9672	0	456	0	0	0	135
ASV_9673	0	0	0	0	329	556
ASV_9674	0	1089	0	0	0	0
ASV_9676	0	236	0	0	0	0
ASV_9677	0	193	0	0	0	0
ASV_9678	0	158	0	0	0	614
ASV_9684	0	352	0	0	0	52
ASV_9685	0	0	0	0	36	0
ASV_9688	0	0	0	0	0	349
ASV_9690	0	0	0	0	23	0
ASV_9697	0	0	0	0	8	0
ASV_9699	0	788	0	0	0	0
ASV_9702	0	1075	0	0	0	0
ASV_9705	0	1034	0	0	0	0
ASV_9709	0	61	0	0	0	0
ASV_9710	0	0	0	0	14	0
ASV_9722	0	0	0	0	79	34
ASV_9728	0	0	0	0	0	1252
ASV_9742	0	12	0	0	0	0
ASV_9745	0	0	0	0	0	783
ASV_9751	0	0	0	58	0	0
ASV_9752	0	962	0	0	0	0
ASV_9755	0	0	0	0	0	470
ASV_9766	0	210	0	0	0	0
ASV_9767	0	845	0	0	0	0
ASV_9776	0	0	0	0	74	0
ASV_9783	0	0	0	0	0	816
ASV_9784	0	834	0	0	0	0
ASV_9786	0	0	0	0	0	837
ASV_9787	0	815	0	0	0	0
ASV_979	0	0	0	0	1	0
ASV_9799	0	691	0	0	0	0
ASV_98	6	0	0	0	0	0
ASV_9809	0	695	0	0	0	0
ASV_9811	0	0	0	45	0	0
ASV_9814	0	0	0	0	0	674
ASV_9822	0	15	0	0	0	0
ASV_9841	0	0	0	0	0	564
ASV_985	13	0	12	17	0	0
ASV_9871	0	0	0	0	0	517
ASV_9874	0	0	0	0	0	5
ASV_9886	0	516	0	0	0	0
ASV_9888	0	0	0	0	0	488
ASV_9890	0	497	0	0	49	0
ASV_99	6	0	0	0	0	0
ASV_9908	0	439	0	0	0	0
ASV_9916	0	0	0	8	0	0
ASV_9925	0	448	0	0	0	0
ASV_9940	0	0	0	0	0	387
ASV_9947	0	111	0	0	0	0
ASV_9959	0	0	0	0	0	392
ASV_9961	0	362	0	0	0	0
ASV_9975	0	0	0	0	0	111
ASV_9979	0	0	0	0	0	331
ASV_9988	0	23	0	0	0	0
