	F_Day_0_Abx_C	O_Day_0_Abx_C	F_Day_3_Abx_C	O_Day_3_Abx_C
ASV_3605	0	0	227	0
ASV_3607	0	1162	1123	617
ASV_3608	0	0	0	66
ASV_3609	0	0	0	56
ASV_3610	6	0	0	0
ASV_3613	1	0	0	0
ASV_3618	6	0	0	0
ASV_3621	6	0	2	0
ASV_3622	0	0	116	0
ASV_3630	7	0	1	0
ASV_3646	0	0	6	9
ASV_365	0	0	75	0
ASV_3650	0	1783	451	92
ASV_3659	0	421	0	0
ASV_367	0	0	0	10
ASV_369	37	0	0	0
ASV_37	0	0	1324	0
ASV_3703	1	0	0	0
ASV_371	15	0	0	21
ASV_3718	513	0	394	36
ASV_372	21	0	6	17
ASV_3739	0	0	613	253
ASV_374	0	0	122	176
ASV_3750	1	0	0	0
ASV_377	0	0	0	9
ASV_380	0	0	427	0
ASV_382	21	0	168	0
ASV_385	6	0	0	0
ASV_389	0	0	0	259
ASV_3892	1	0	0	0
ASV_39	18	0	0	0
ASV_3913	0	0	0	88
ASV_3918	35	0	73	0
ASV_3930	105	0	0	0
ASV_3941	122	0	0	0
ASV_3960	399	0	275	0
ASV_3969	0	0	0	25
ASV_3975	6	0	1	0
ASV_3978	0	0	0	39
ASV_398	0	0	624	0
ASV_3987	42	0	33	0
ASV_399	0	0	126	0
ASV_4	16044	19368	20009	745
ASV_40	0	0	33	0
ASV_4016	0	0	0	8
ASV_4018	74	0	286	0
ASV_402	0	0	24	6
ASV_403	0	0	43	0
ASV_4032	0	0	129	0
ASV_409	45	0	0	0
ASV_41	0	3265	75	154
ASV_4138	0	0	0	10
ASV_4174	1	0	0	0
ASV_4181	0	0	176	175
ASV_42	165	0	91	0
ASV_421	0	0	533	0
ASV_4224	0	0	75	0
ASV_43	16	0	88	0
ASV_439	646	0	216	63
ASV_441	0	82	0	0
ASV_4434	33	0	3	0
ASV_444	139	0	0	0
ASV_4458	0	0	171	33
ASV_4459	9	0	0	0
ASV_45	3	0	0	0
ASV_4518	3	0	0	0
ASV_454	0	133	16	0
ASV_458	0	0	0	17
ASV_46	384	391	397	57
ASV_460	260	0	1715	0
ASV_462	0	512	0	134
