	F_Day_0_Abx_A	O_Day_0_Abx_A	O_Day_7_Abx_A	F_Day_3_Abx_A	F_Day_7_Abx_A	O_Day_3_Abx_A
ASV_29	23	0	0	9	0	0
ASV_292	325	0	0	1021	24	0
ASV_2942	87	0	0	385	0	0
ASV_296	109	0	0	258	3	0
ASV_299	243	0	0	286	13	0
ASV_30	614	0	15	2706	205	0
ASV_301	0	0	0	109	4	0
ASV_303	0	0	0	65	0	37
ASV_304	257	0	0	860	14	0
ASV_306	0	0	0	9	0	0
ASV_3069	0	32	0	0	0	0
ASV_309	0	0	0	69	0	0
ASV_31	33	0	0	41	0	0
ASV_312	83	0	0	140	0	0
ASV_3141	0	1340	0	0	0	0
ASV_316	0	0	0	40	0	0
ASV_32	0	0	27	0	38	0
ASV_320	195	0	4	601	43	0
ASV_323	37	0	0	158	0	0
ASV_327	80	0	0	178	0	0
ASV_33	87	2286	63	361	829	0
ASV_331	0	0	0	28	0	0
ASV_332	49	0	4	332	0	0
ASV_335	212	0	0	155	24	0
ASV_336	737	0	0	513	0	0
ASV_337	0	0	0	113	6	0
ASV_3372	0	0	0	3309	65	0
ASV_338	282	0	0	0	0	0
ASV_3393	0	0	3	0	0	3
ASV_342	66	0	0	439	44	0
ASV_344	438	0	0	452	0	0
ASV_346	0	0	0	0	4	0
ASV_348	0	0	0	114	0	0
ASV_350	6	0	0	384	49	0
ASV_3542	3	0	0	2	0	0
ASV_356	742	0	0	1928	41	0
ASV_357	103	0	0	0	0	0
ASV_3597	2703	0	7	341	56	0
ASV_36	1191	0	0	749	28	0
ASV_360	10210	0	0	2347	61	0
ASV_3600	374	0	0	796	21	0
ASV_3605	0	0	0	151	0	0
ASV_3607	0	175	321	244	132	0
ASV_3608	0	0	0	0	0	67
ASV_361	0	0	0	104	18	0
ASV_3610	1	0	0	2	0	0
ASV_3618	4	0	0	10	0	0
ASV_362	0	0	0	59	0	0
ASV_3621	11	0	0	39	0	0
ASV_3622	423	0	0	1148	8	0
ASV_3630	1	0	0	17	35	0
ASV_3631	3	0	0	8	18	0
ASV_3646	77	0	0	313	0	0
ASV_3648	0	0	0	49	0	0
ASV_365	203	0	0	198	0	0
ASV_3650	4	5122	17	109	15	34
ASV_3659	0	49	19	192	0	0
ASV_369	5708	0	0	116	22	0
ASV_37	586	0	4	1813	8	0
ASV_370	60	0	0	216	6	0
ASV_3703	1	0	0	1	0	0
ASV_371	67	0	0	294	0	0
ASV_3714	0	0	0	29	0	0
ASV_3715	1	0	0	0	0	0
ASV_3718	81	0	0	5268	138	21
ASV_372	89	0	0	171	0	0
ASV_3739	0	0	0	123	0	0
ASV_374	0	30	0	24	0	0
ASV_3750	0	0	0	0	2	0
ASV_3763	0	0	14	0	0	28
ASV_377	0	77	0	0	0	0
ASV_3785	0	0	5	0	0	0
ASV_380	0	0	0	92	28	0
ASV_3814	0	0	0	34	0	0
ASV_382	65	0	0	748	16	0
ASV_3831	0	0	4	0	0	0
ASV_385	77	0	0	132	0	0
ASV_387	117	0	0	0	0	0
ASV_3870	0	0	0	1	0	0
ASV_3881	0	0	0	42	0	0
ASV_389	0	0	0	441	0	0
ASV_39	87	0	0	0	32	0
ASV_390	0	0	0	45	0	0
ASV_391	0	0	0	77	0	0
ASV_3913	0	12	0	0	3	0
ASV_3918	321	0	0	177	30	0
ASV_3922	0	0	0	38	0	0
ASV_3930	0	0	0	61	0	0
ASV_3941	0	0	0	0	12	0
ASV_3960	20	0	0	296	91	0
ASV_398	422	0	0	3811	9	4
ASV_3987	271	0	0	392	23	0
ASV_399	0	0	0	110	0	0
ASV_4	155875	72	231	64712	2500	99
ASV_40	0	0	3	330	154	0
ASV_400	0	0	0	108	12	0
ASV_4018	0	0	2	649	35	0
ASV_4022	30	0	0	0	0	0
ASV_4032	6	0	0	905	61	0
ASV_4056	0	0	5	0	0	0
ASV_4066	0	0	7	0	0	0
ASV_4082	0	0	0	23	0	0
ASV_4086	0	0	0	635	0	0
ASV_409	905	0	0	280	0	0
ASV_41	0	23	52	487	0	0
ASV_413	0	821	0	0	0	0
ASV_4138	0	22	0	11	0	0
ASV_418	0	0	0	35	0	0
ASV_4181	0	0	13	0	0	11
ASV_42	1563	0	0	491	20	0
ASV_421	0	0	0	39	2	0
ASV_424	0	0	0	77	0	0
ASV_425	7	0	0	0	0	0
ASV_43	328	0	0	120	0	0
ASV_4318	0	0	0	0	0	29
ASV_433	34	0	0	35	0	0
ASV_4333	0	0	0	113	0	0
ASV_4386	0	0	0	50107	0	27
ASV_439	366	0	10	2737	49	0
ASV_44	0	0	6	0	0	0
ASV_441	21	0	0	0	0	0
ASV_4434	19	0	0	53	0	0
ASV_445	47	0	0	139	0	0
ASV_4458	73	0	0	114	11	0
ASV_4459	0	0	0	0	5	0
ASV_45	32	0	4	155	13	0
ASV_452	201	0	0	0	0	0
ASV_453	0	0	0	93	0	0
ASV_46	420	0	6	1395	0	0
ASV_460	102	0	0	251	126	0
ASV_461	274	0	0	166	25	0
ASV_462	5	0	0	122	0	0
ASV_4620	3	0	0	15	4	0
ASV_463	17	0	0	0	0	0
ASV_466	62	0	0	224	4	0
ASV_467	0	2595	2	40	0	23
ASV_47	0	0	0	35	0	0
ASV_471	6548	2	32	2139	258	0
ASV_477	23	0	0	0	0	0
ASV_48	2684	0	17	3338	148	3
ASV_481	197	0	0	622	0	0
ASV_486	116	0	0	107	0	0
ASV_4863	0	4	0	0	0	0
ASV_4878	0	0	6	0	0	0
ASV_488	0	0	0	0	26	0
ASV_49	417	38	0	315	21	0
ASV_4911	0	18	0	0	0	0
ASV_4964	0	198	0	0	0	0
ASV_4994	0	0	3	147	0	0
ASV_50	1599	0	32	824	112	0
ASV_505	1539	0	0	577	32	0
ASV_506	159	0	0	327	0	0
ASV_509	0	0	0	20	0	0
ASV_511	77	0	0	81	81	0
ASV_514	0	0	0	30	0	0
ASV_518	0	0	0	85	0	0
ASV_519	715	0	0	1230	40	0
ASV_5292	2	0	0	0	0	0
ASV_53	0	1360	103	3632	0	177
ASV_534	0	0	0	79	0	0
ASV_539	276	0	0	1460	19	0
ASV_54	1197	0	0	1951	44	0
ASV_547	0	0	0	138	0	0
ASV_55	362	0	0	284	20	0
ASV_551	0	0	0	0	0	27
ASV_552	178	0	0	1683	21	0
ASV_5599	31	0	0	22	94	0
ASV_5600	10	0	5	16	57	0
ASV_5602	0	0	0	0	16	0
ASV_5604	0	0	0	2	9	0
ASV_5605	4	0	0	0	0	0
ASV_5606	39	0	0	41	150	0
ASV_5608	30	0	0	22	75	50
ASV_561	0	7	0	0	0	0
ASV_5610	0	0	0	139	0	0
ASV_564	28	0	0	104	25	0
