	F_Day_0_Control_A	O_Day_0_Control_A	F_Day_7_Control_A	O_Day_7_Control_A	O_Day_3_Control_A	F_Day_3_Control_A
ASV_433	6	0	0	0	0	6
ASV_4386	0	0	0	10	0	0
ASV_439	670	0	377	4	691	1945
ASV_441	4	0	0	0	0	19
ASV_4434	10	0	7	0	77	5
ASV_444	0	0	0	0	0	7
ASV_445	7	0	5	0	0	24
ASV_4458	46	755	48	0	0	12
ASV_4459	33	0	0	0	0	0
ASV_45	78	1391	49	5	0	4
ASV_4518	4	0	0	0	0	0
ASV_4578	0	947	0	0	0	0
ASV_46	313	1326	6	0	811	457
ASV_460	52	0	57	0	0	147
ASV_461	56	0	0	0	0	33
ASV_462	73	0	0	0	0	44
ASV_4620	2	0	5	0	5	18
ASV_466	0	0	11	0	0	79
ASV_467	0	0	0	5	0	0
ASV_47	0	0	0	0	367	0
ASV_471	1612	0	466	0	0	664
ASV_477	6	0	5	0	0	0
ASV_48	1706	0	892	0	0	912
ASV_481	222	0	20	0	0	340
ASV_486	69	0	0	0	0	70
ASV_488	0	0	0	43	0	0
ASV_49	38	0	11	0	0	35
ASV_4964	0	0	0	4	0	0
ASV_4994	0	0	7	0	0	0
ASV_50	39	0	42	8	434	623
ASV_5049	5	0	0	0	0	0
ASV_505	109	0	223	0	786	733
ASV_506	0	0	0	0	0	73
ASV_511	50	0	39	0	485	99
ASV_5149	0	19	0	0	0	0
ASV_518	32	0	175	0	0	108
ASV_519	50	0	53	4	0	348
ASV_520	0	0	0	0	0	26
ASV_529	0	0	0	0	29	0
ASV_5292	1	0	1	0	0	0
ASV_53	0	33823	3	6582	3804	0
ASV_534	12	0	77	0	41	36
ASV_5340	0	0	0	12	0	0
ASV_539	357	0	231	0	0	1081
ASV_54	541	0	121	0	0	1175
ASV_55	140	0	45	0	0	28
ASV_552	387	0	241	0	0	1186
ASV_5599	0	0	311	0	0	31
ASV_5600	0	0	50	0	0	2
ASV_5602	0	0	0	0	0	8
ASV_5605	0	0	10	0	0	0
ASV_5606	24	0	314	0	0	40
ASV_5608	0	0	148	0	0	0
ASV_564	33	0	9	0	0	24
ASV_566	88	0	37	0	0	104
ASV_567	354	0	0	0	0	272
ASV_568	120	0	25	0	0	442
ASV_569	0	0	0	7	0	0
ASV_57	11	0	0	0	0	12
ASV_571	6	0	0	0	0	0
ASV_5711	0	0	11	0	0	1
ASV_572	394	0	258	0	0	1068
ASV_5747	0	2728	0	0	0	0
ASV_578	1454	0	0	0	0	505
ASV_580	514	0	48	0	0	1266
ASV_585	244	0	51	5	0	94
ASV_5856	0	0	0	0	416	0
ASV_593	25	0	0	0	0	0
ASV_596	0	0	0	0	0	29
ASV_5986	0	0	8	8	0	1
ASV_60	99	0	0	0	0	175
ASV_6011	0	3412	0	4	155	0
ASV_604	196	0	108	0	0	646
ASV_6045	0	0	0	15	38	0
ASV_6054	0	0	0	6	0	0
ASV_609	8	0	0	0	0	7
ASV_6109	3	0	10	0	0	8
ASV_6137	0	0	0	2	190	0
ASV_6143	0	0	0	0	36	0
ASV_6182	0	0	0	0	120	0
ASV_6310	0	343	0	0	0	0
ASV_6345	0	413	0	0	0	0
ASV_64	44	0	8	0	0	48
ASV_647	22	0	23	0	0	35
ASV_648	25	0	0	0	0	82
ASV_65	86	0	29	3	0	0
ASV_6503	3	0	0	0	0	0
ASV_6507	4	0	1	0	0	0
ASV_652	32	0	13	0	0	10
ASV_654	23	0	0	0	0	18
ASV_655	65	0	35	0	0	51
ASV_656	0	0	0	33	0	0
ASV_658	176	0	97	0	0	677
ASV_659	0	0	0	10	0	0
ASV_663	166	0	21	0	0	101
ASV_67	64	0	0	0	0	28
ASV_6745	0	8	0	0	0	0
ASV_6796	0	0	0	5	0	0
ASV_684	0	0	0	0	0	95
ASV_6856	0	0	0	4	0	0
ASV_6863	0	2492	3	10	142	0
ASV_69	15	0	84	0	0	191
ASV_7	3393	21	3271	26	776	1255
ASV_70	225	0	70	0	0	286
ASV_706	59	0	0	0	0	44
ASV_71	267	0	212	22	443	54
ASV_712	12	0	3	0	0	22
