	F_Day_0_Abx_D	O_Day_0_Abx_D	O_Day_7_Abx_D	F_Day_7_Abx_D	F_Day_3_Abx_D
ASV_7813	120	0	0	21	0
ASV_782	0	9	0	0	0
ASV_7837	2	0	0	0	0
ASV_7839	1	0	0	0	0
ASV_7854	1	0	0	0	0
ASV_7870	206	0	0	0	0
ASV_7875	23	0	0	0	0
ASV_79	1508	0	0	0	0
ASV_7918	20	0	0	0	0
ASV_798	14	0	0	0	0
ASV_80	2664	0	0	0	7
ASV_8027	8	0	0	0	0
ASV_804	225	0	0	0	0
ASV_8074	46	0	0	0	0
ASV_8100	336	0	0	0	0
ASV_8118	1	0	0	0	0
ASV_816	710	0	0	0	0
ASV_8260	59	0	0	0	0
ASV_829	264	0	0	0	0
ASV_835	400	0	0	0	0
ASV_837	42	0	0	0	0
ASV_8520	5	0	0	0	0
ASV_86	5843	8	0	52	89
ASV_860	1133	0	0	0	0
ASV_861	45	0	0	0	0
ASV_866	10	0	0	0	0
ASV_87	1091	0	0	0	0
ASV_879	293	0	0	0	0
ASV_8887	16	0	0	0	0
ASV_89	22	0	0	0	0
ASV_892	34	0	0	0	0
ASV_8948	43	0	0	0	0
ASV_9	0	0	0	275	0
ASV_90	2972	0	0	0	0
ASV_901	14	0	0	0	0
ASV_9027	1	0	0	0	0
ASV_913	1836	0	17	0	0
ASV_9155	3	0	0	0	0
ASV_921	1792	0	0	0	0
ASV_9268	0	0	12	130	0
ASV_93	272	0	0	0	0
ASV_932	22	0	0	0	0
ASV_933	89	0	0	0	0
ASV_9383	1	0	0	0	0
ASV_943	0	0	70	0	0
ASV_95	2187	0	17	0	0
ASV_950	10	0	0	0	0
ASV_9662	1	0	0	0	0
ASV_9667	0	39	0	0	0
ASV_9668	0	17	28	215	0
ASV_9673	0	0	39	0	0
ASV_9674	0	0	85	0	0
ASV_9676	0	20	16	0	0
ASV_9677	0	14	0	0	0
ASV_9678	0	0	18	71	0
ASV_9685	0	0	0	37	0
ASV_9693	0	0	0	119	0
ASV_9709	0	2	0	0	0
ASV_9732	0	0	0	112	0
ASV_979	5	0	0	0	0
ASV_985	21	0	0	0	0
ASV_9901	0	0	38	0	0
ASV_9916	15	0	0	0	0
ASV_9977	0	0	0	71	0
ASV_9985	0	11	0	297	0
