	F_Day_0_Control_C	O_Day_0_Control_C	F_Day_7_Control_C	O_Day_7_Control_C	O_Day_3_Control_C	F_Day_3_Control_C
ASV_12101	0	10	0	0	0	0
ASV_12104	0	0	0	0	10	0
ASV_12109	0	0	0	0	0	1
ASV_12114	0	0	0	0	9	0
ASV_12117	0	0	8	0	0	0
ASV_1212	0	0	0	0	68	0
ASV_12121	0	0	0	8	0	0
ASV_12130	0	0	0	0	7	0
ASV_12146	0	0	0	0	0	5
ASV_12152	0	5	0	0	0	0
ASV_12154	0	0	0	0	5	0
ASV_1216	0	12	0	0	0	0
ASV_12163	0	0	0	0	0	4
ASV_12175	0	4	0	0	0	0
ASV_12176	0	4	0	0	0	0
ASV_12211	0	0	0	0	3	0
ASV_12237	0	0	0	0	0	2
ASV_12245	0	2	0	0	0	0
ASV_1225	24	0	0	0	0	22
ASV_12288	0	1	0	0	0	0
ASV_123	159	0	0	0	0	0
ASV_124	203	0	108	0	759	230
ASV_125	0	111	0	0	0	0
ASV_1258	0	141	0	0	24	0
ASV_126	0	0	11	0	149	135
ASV_129	115	0	0	0	0	168
ASV_1296	0	0	9	0	0	0
ASV_13	0	315	0	0	520	0
ASV_130	188	0	263	0	18	412
ASV_131	21	0	16	0	0	129
ASV_1324	0	18	0	0	0	0
ASV_1364	19	0	0	0	0	104
ASV_137	66	80	17	0	85	147
ASV_1383	0	0	0	0	44	0
ASV_139	0	0	0	0	21	0
ASV_1392	37	0	96	0	0	78
ASV_14	10	2889	8	1153	7007	7
ASV_140	0	0	10	0	0	10
ASV_1407	0	46	0	0	0	0
ASV_142	27	0	232	0	107	807
ASV_1432	0	0	0	0	24	0
ASV_146	0	0	11	1036	21	50
ASV_1465	0	22	0	0	0	0
ASV_147	85	0	81	816	0	813
ASV_148	72	0	214	0	77	1164
ASV_149	84	0	144	0	0	3049
ASV_150	52	0	72	0	24	191
ASV_151	0	0	0	0	36	285
ASV_1511	0	5	0	0	0	0
ASV_152	0	45	0	0	163	18
ASV_1527	6	0	0	0	0	5
ASV_1543	0	66	0	0	0	0
ASV_155	0	0	0	0	32	0
ASV_156	2	0	0	0	0	50
ASV_1577	0	0	0	1264	0	0
ASV_158	9	0	0	0	92	24
ASV_1587	0	0	0	0	24	0
ASV_159	0	0	0	0	75	0
ASV_161	84	0	401	0	19	1579
ASV_162	31	0	19	0	0	169
ASV_1645	0	0	0	0	43	0
ASV_166	0	0	22	0	0	437
ASV_1675	0	0	0	0	18	0
ASV_169	71	0	0	0	0	63
ASV_1707	0	26	0	0	0	0
ASV_1709	0	0	0	0	12	0
ASV_172	66	0	68	0	59	841
ASV_1736	4	0	8	0	0	2
ASV_174	9	0	0	0	0	6
ASV_175	40	0	59	0	0	86
ASV_177	0	14	0	0	0	0
ASV_178	16	0	23	0	0	225
ASV_1787	0	58	0	0	0	0
ASV_179	0	0	0	0	0	15
ASV_1801	0	23	0	0	0	0
ASV_1802	0	15	0	0	0	0
ASV_182	103	0	21	812	45	248
ASV_1823	0	353	2	17610	539	0
ASV_1830	0	17	0	0	0	0
ASV_184	20	0	11	0	0	130
ASV_185	0	0	0	0	23	0
ASV_186	0	0	39	0	0	0
ASV_187	0	0	0	0	77	41
ASV_188	77	0	5	0	0	39
ASV_189	0	0	0	0	0	85
ASV_1899	0	21	0	0	0	0
ASV_1903	0	0	0	0	151	0
ASV_191	8	0	0	0	76	47
ASV_2	792	7387	720	5657	38894	281
ASV_2009	87	0	63	0	77	192
ASV_2065	0	0	3	0	0	12
ASV_21	1924	0	1032	1979	296	8297
ASV_210	0	0	0	0	0	32
ASV_2109	0	0	0	0	213	0
ASV_211	233	0	134	3881	0	508
ASV_212	0	0	0	0	101	699
ASV_213	14	0	20	0	0	120
ASV_215	0	27	0	0	14	0
ASV_216	271	0	398	0	0	3325
ASV_2176	0	0	0	0	9	0
ASV_220	0	0	5	0	0	0
ASV_223	9	6	12	0	24	52
ASV_224	90	0	63	0	40	702
