Group,Seed,Fold,ThresOral,ThresDensity,Precision,Recall,F1,Accuracy
Allo-HCT,26,1,0.232046955,19324286.48,0.801587302,0.345890411,0.483253589,0.652733119
Allo-HCT,26,2,0.230077947,24375648.19,0.829059829,0.319078947,0.460807601,0.635048232
Allo-HCT,26,3,0.219501228,25169684.44,0.786259542,0.343333333,0.477958237,0.638263666
Allo-HCT,26,4,0.234694104,9831865.407,0.687022901,0.394736842,0.501392758,0.711755233
Allo-HCT,26,5,0.231511708,9854186.846,0.637168142,0.336448598,0.440366972,0.70531401
Allo-HCT,27,1,0.231877003,9869316.438,0.698412698,0.380952381,0.492997199,0.709003215
Allo-HCT,27,2,0.21757719,42824610.76,0.858333333,0.279891304,0.422131148,0.546623794
Allo-HCT,27,3,0.231998481,22592783.03,0.7890625,0.314641745,0.449888641,0.602893891
Allo-HCT,27,4,0.205770721,42954612.66,0.854166667,0.328877005,0.474903475,0.561996779
Allo-HCT,27,5,0.235272739,9687362.026,0.702702703,0.348214286,0.465671642,0.711755233
Allo-HCT,28,1,0.206660324,42813935.2,0.921428571,0.327411168,0.483146067,0.556270096
Allo-HCT,28,2,0.231852084,9815887.214,0.669811321,0.330232558,0.442367601,0.71221865
Allo-HCT,28,3,0.229999952,24200235.41,0.795454545,0.340909091,0.477272727,0.63022508
Allo-HCT,28,4,0.207160308,10180039.09,0.637795276,0.383886256,0.479289941,0.716586151
Allo-HCT,28,5,0.234393943,9802550.348,0.637681159,0.398190045,0.490250696,0.70531401
Allo-HCT,29,1,0.234764018,9820817.932,0.614173228,0.359447005,0.453488372,0.697749196
Allo-HCT,29,2,0.232036482,9825403.507,0.738738739,0.371040724,0.493975904,0.729903537
Allo-HCT,29,3,0.235244595,9907179.418,0.714285714,0.393518519,0.507462687,0.734726688
Allo-HCT,29,4,0.234033571,19355872.22,0.784,0.33220339,0.466666667,0.639291465
Allo-HCT,29,5,0.207548443,9827376.209,0.657342657,0.429223744,0.519337017,0.719806763
Allo-HCT,30,1,0.217592546,40979790.94,0.904347826,0.278074866,0.425357873,0.548231511
Allo-HCT,30,2,0.234026208,19731409.03,0.759259259,0.3003663,0.430446194,0.651125402
Allo-HCT,30,3,0.232187654,9825198.814,0.643939394,0.393518519,0.488505747,0.713826367
Allo-HCT,30,4,0.217611627,42824157.28,0.868613139,0.313984169,0.46124031,0.552334944
Allo-HCT,30,5,0.23481303,9800467.468,0.684615385,0.378723404,0.487671233,0.698872786
Allo-HCT,31,1,0.232048258,21346377.41,0.839416058,0.37704918,0.520361991,0.659163987
Allo-HCT,31,2,0.226691324,19105710.29,0.754098361,0.307692308,0.437054632,0.618971061
Allo-HCT,31,3,0.232013458,9701085.052,0.719008264,0.395454545,0.51026393,0.731511254
Allo-HCT,31,4,0.234869784,9791180.302,0.638655462,0.365384615,0.464831804,0.718196457
Allo-HCT,31,5,0.23471105,9824142.008,0.719298246,0.372727273,0.491017964,0.726247987
Allo-HCT,32,1,0.222820977,25169633.14,0.755725191,0.334459459,0.463700234,0.631832797
Allo-HCT,32,2,0.226646903,9699199.874,0.64957265,0.337777778,0.444444444,0.694533762
Allo-HCT,32,3,0.234380327,9863808.846,0.641666667,0.368421053,0.468085106,0.718649518
Allo-HCT,32,4,0.232196069,24281593.92,0.870967742,0.335403727,0.484304933,0.62962963
Allo-HCT,32,5,0.232736951,9805228.294,0.73015873,0.408888889,0.524216524,0.731078905
Allo-HCT,33,1,0.234546925,9865816.549,0.669172932,0.400900901,0.501408451,0.715434084
Allo-HCT,33,2,0.234280008,9845982.156,0.723214286,0.373271889,0.492401216,0.731511254
Allo-HCT,33,3,0.206601829,42833644.95,0.871428571,0.321052632,0.469230769,0.556270096
Allo-HCT,33,4,0.234389832,9807122.885,0.675438596,0.34529148,0.456973294,0.70531401
Allo-HCT,33,5,0.232132722,9820073.1,0.693548387,0.372294372,0.484507042,0.70531401
Allo-HCT,34,1,0.234315221,9846854.888,0.711711712,0.351111111,0.470238095,0.713826367
Allo-HCT,34,2,0.23516208,9693407.144,0.671875,0.375545852,0.481792717,0.702572347
Allo-HCT,34,3,0.232251609,9819955.441,0.672268908,0.4,0.501567398,0.74437299
Allo-HCT,34,4,0.231099562,9845048.112,0.661157025,0.375586854,0.479041916,0.719806763
Allo-HCT,34,5,0.206869095,20712701.25,0.775510204,0.367741935,0.498905908,0.631239936
Allo-HCT,35,1,0.207543638,21363747.16,0.760869565,0.345394737,0.475113122,0.627009646
Allo-HCT,35,2,0.232274243,9829561.108,0.655172414,0.343891403,0.451038576,0.702572347
Allo-HCT,35,3,0.235294939,9696492.936,0.739837398,0.402654867,0.521489971,0.731511254
Allo-HCT,35,4,0.231771714,35178097.3,0.845454545,0.262711864,0.400862069,0.552334944
Allo-HCT,35,5,0.235181033,9817940.558,0.713178295,0.410714286,0.521246459,0.727858293
Allo-HCT,36,1,0.23264324,25548675.75,0.814285714,0.363057325,0.502202643,0.636655949
Allo-HCT,36,2,0.234457436,9868892.383,0.666666667,0.380487805,0.48447205,0.733118971
Allo-HCT,36,3,0.176377722,43046525.37,0.843537415,0.329787234,0.47418738,0.557877814
Allo-HCT,36,4,0.23214838,9695689.535,0.617886179,0.343891403,0.441860465,0.690821256
Allo-HCT,36,5,0.232269289,9830641.741,0.725663717,0.376146789,0.495468278,0.731078905
Allo-HCT,37,1,0.232209805,9788145.404,0.694444444,0.362318841,0.476190476,0.734726688
Allo-HCT,37,2,0.234232627,9824544.686,0.687022901,0.401785714,0.507042254,0.718649518
Allo-HCT,37,3,0.219478191,24282801.5,0.779527559,0.326732673,0.460465116,0.627009646
Allo-HCT,37,4,0.235490404,9797902.542,0.645669291,0.384976526,0.482352941,0.716586151
Allo-HCT,37,5,0.232149117,9845051.797,0.741666667,0.395555556,0.515942029,0.731078905
Allo-HCT,38,1,0.234489065,9869213.387,0.759398496,0.461187215,0.573863636,0.758842444
Allo-HCT,38,2,0.234786496,9700234.457,0.693548387,0.394495413,0.502923977,0.726688103
Allo-HCT,38,3,0.207540522,19635059.94,0.716216216,0.359322034,0.478555305,0.628617363
Allo-HCT,38,4,0.234441472,9855874.901,0.684684685,0.340807175,0.45508982,0.706924316
Allo-HCT,38,5,0.232261876,9801357.956,0.641509434,0.333333333,0.438709677,0.719806763
Allo-HCT,39,1,0.235145192,9686154.282,0.685483871,0.399061033,0.504451039,0.731511254
Allo-HCT,39,2,0.207454901,10059215.04,0.701492537,0.4,0.509485095,0.709003215
Allo-HCT,39,3,0.222651221,35206340.86,0.893129771,0.306282723,0.456140351,0.551446945
Allo-HCT,39,4,0.23222212,9784410.407,0.680327869,0.373873874,0.48255814,0.713365539
Allo-HCT,39,5,0.231212652,24257575.62,0.767241379,0.31010453,0.441687345,0.637681159
Allo-HCT,40,1,0.207132331,10058594.86,0.659090909,0.397260274,0.495726496,0.715434084
Allo-HCT,40,2,0.235673759,9836259.188,0.741071429,0.375565611,0.498498498,0.731511254
Allo-HCT,40,3,0.232274815,9702050.372,0.616,0.390862944,0.47826087,0.729903537
Allo-HCT,40,4,0.219491924,26347062.2,0.79389313,0.313253012,0.44924406,0.589371981
Allo-HCT,40,5,0.234714797,9871391.447,0.75,0.389121339,0.512396694,0.714975845
Allo-HCT,41,1,0.231881507,9827465.137,0.716535433,0.393939394,0.508379888,0.717041801
Allo-HCT,41,2,0.231940715,19725662.73,0.844262295,0.35395189,0.498789346,0.667202572
Allo-HCT,41,3,0.234888406,9800781.094,0.663865546,0.359090909,0.466076696,0.709003215
Allo-HCT,41,4,0.219466857,25875753.66,0.745901639,0.292604502,0.420323326,0.595813205
Allo-HCT,41,5,0.235225555,9689054.83,0.702479339,0.382882883,0.495626822,0.721417069
Allo-HCT,42,1,0.21868009,24385511.31,0.8203125,0.332278481,0.472972973,0.623794212
Allo-HCT,42,2,0.23186287,19718379.23,0.774647887,0.366666667,0.497737557,0.643086817
Allo-HCT,42,3,0.232262737,19718930.72,0.807692308,0.306569343,0.444444444,0.662379421
Allo-HCT,42,4,0.235148252,9831873.52,0.663865546,0.389162562,0.49068323,0.735909823
Allo-HCT,42,5,0.234822823,9900156.482,0.674796748,0.351694915,0.462395543,0.68921095
Allo-HCT,43,1,0.232159816,9855270.154,0.651162791,0.42,0.510638298,0.741157556
Allo-HCT,43,2,0.234144746,19289211.7,0.792307692,0.338815789,0.474654378,0.633440514
Allo-HCT,43,3,0.231917729,9795736.961,0.701754386,0.37037037,0.484848485,0.726688103
Allo-HCT,43,4,0.234476907,9696537.225,0.708333333,0.376106195,0.49132948,0.716586151
Allo-HCT,43,5,0.231737714,9842410.719,0.72173913,0.370535714,0.489675516,0.721417069
Allo-HCT,44,1,0.234552627,9848631.611,0.653543307,0.380733945,0.48115942,0.71221865
Allo-HCT,44,2,0.196440013,35229026.38,0.841726619,0.328651685,0.472727273,0.580385852
Allo-HCT,44,3,0.232060583,19696895.08,0.75,0.328621908,0.457002457,0.644694534
Allo-HCT,44,4,0.236324088,9820204.054,0.632,0.370892019,0.467455621,0.710144928
Allo-HCT,44,5,0.232260327,9837120.739,0.759259259,0.354978355,0.483775811,0.718196457
Allo-HCT,45,1,0.231871688,24447167.38,0.849206349,0.330246914,0.475555556,0.620578778
Allo-HCT,45,2,0.206919992,9927505.475,0.685714286,0.403361345,0.507936508,0.70096463
Allo-HCT,45,3,0.235221608,21379175.6,0.739495798,0.305555556,0.432432432,0.628617363
Allo-HCT,45,4,0.217586883,34845703.52,0.846153846,0.30726257,0.450819672,0.568438003
Allo-HCT,45,5,0.232149056,9827425.373,0.647058824,0.368421053,0.469512195,0.719806763
Allo-HCT,46,1,0.2326957,9853490.733,0.728813559,0.375545852,0.495677233,0.718649518
Allo-HCT,46,2,0.226588049,24285572.38,0.777777778,0.301324503,0.434367542,0.618971061
Allo-HCT,46,3,0.234230344,9808282.727,0.700729927,0.450704225,0.548571429,0.745980707
Allo-HCT,46,4,0.225689695,9715483.783,0.666666667,0.356807512,0.464831804,0.718196457
Allo-HCT,46,5,0.232002634,9689337.044,0.682170543,0.382608696,0.490250696,0.70531401
Allo-HCT,47,1,0.235350525,9802409.832,0.666666667,0.376146789,0.480938416,0.715434084
Allo-HCT,47,2,0.232251032,19697125.77,0.781954887,0.370106762,0.502415459,0.668810289
Allo-HCT,47,3,0.231970503,9850492.701,0.701754386,0.338983051,0.457142857,0.694533762
Allo-HCT,47,4,0.23484975,9862608.121,0.710526316,0.361607143,0.479289941,0.716586151
Allo-HCT,47,5,0.176326117,25242549.54,0.721518987,0.383838384,0.501098901,0.634460548
Allo-HCT,48,1,0.227022221,9694143.623,0.6,0.31797235,0.415662651,0.688102894
Allo-HCT,48,2,0.23226568,9866741.422,0.68,0.381165919,0.488505747,0.713826367
Allo-HCT,48,3,0.23450226,9800422.461,0.739837398,0.393939394,0.514124294,0.723472669
Allo-HCT,48,4,0.232011774,9812343.072,0.699186992,0.407582938,0.51497006,0.739130435
Allo-HCT,48,5,0.232066113,25698828.84,0.864,0.3375,0.485393258,0.631239936
Allo-HCT,49,1,0.234308347,9698170.835,0.731884058,0.441048035,0.550408719,0.734726688
Allo-HCT,49,2,0.207089503,9926976.032,0.611570248,0.355769231,0.449848024,0.709003215
Allo-HCT,49,3,0.222666605,35247635.69,0.888,0.303278689,0.452138493,0.567524116
Allo-HCT,49,4,0.232229236,10374965.58,0.65,0.371428571,0.472727273,0.719806763
Allo-HCT,49,5,0.234882798,9829510.308,0.677419355,0.355932203,0.466666667,0.690821256
CD,0,1,0.008937941,10631258365.0,0.0,0.0,0.0,0.925925926
