,O_Day_0_Abx_A,O_Day_3_Abx_C,F_Day_3_Abx_B,O_Day_0_Abx_E,F_Day_0_Abx_D,F_Day_3_Abx_E,F_Day_0_Abx_C,KP_Exp_8_D8_AVN3,O_Day_3_Abx_B,F_Day_7_Abx_A,KP_Exp_8_D0_OR_AVN3,KP_Exp_8_D0_AVN1,O_Day_0_Abx_B,F_Day_3_Abx_D,O_Day_7_Abx_A,KP_Exp_8_D0_OR_AVN2,O_Day_3_Abx_E,F_Day_3_Abx_A,KP_Exp_8_D8_AVN2,F_Day_7_Abx_E,O_Day_0_Abx_D,O_Day_7_Abx_E,O_Day_3_Abx_A,KP_Exp_8_D0_OR_AVN1,KP_Exp_8_D0_AVN2,O_Day_0_Abx_C,F_Day_7_Abx_B,F_Day_3_Abx_C,KP_Exp_8_D0_AVN3,O_Day_7_Abx_D,KP_Exp_8_D8_AVN1,O_Day_7_Abx_B,F_Day_7_Abx_D,F_Day_0_Abx_A,F_Day_0_Abx_E,Group
KP_Exp_8_D0_OR_AVN3,0.9643525994059373,0.866788794721024,0.8285659872602388,0.937343923466625,0.8768152356401865,0.8256057358522674,0.8989522664975419,0.9859731705396376,0.8590523467966195,0.7907115397715593,0.0,0.5202366273332637,0.9097557068355752,0.8747224724911936,0.8389791532794111,0.5436456750193894,0.9197494924366623,0.8594062740920069,0.9813613152136592,0.7922371821014825,0.8994952998139062,0.8707605535816336,0.9159145599683622,0.9269406201800268,0.31271858525253743,0.8824240784190089,0.856590052203167,0.7741554950772631,0.5531646663383181,0.9314272441598351,0.7832446766740909,0.8458417237138868,0.9597562181963576,0.8862608980097666,0.8563242575913403,pre_oral
KP_Exp_8_D0_AVN1,0.9845636228581266,0.9125179466851457,0.8695191180729902,0.9573171458366295,0.8887988385289384,0.8799127136197256,0.9239006847142051,0.9966747565720577,0.911564915328744,0.910914794059303,0.5202366273332637,0.0,0.9261788898054875,0.932799914583253,0.9195946095247343,0.6607293472256554,0.9531935375145091,0.8938011728471132,0.9930796943640453,0.8980276304754631,0.9465322977356111,0.9482367613408482,0.9353310653245024,0.9614858408743253,0.4361468058300757,0.9383444777744417,0.9363418062033199,0.8146876797436269,0.34596123190966316,0.9704174421069991,0.7888923193398892,0.9276941571411762,0.9868142110372544,0.9031252530928753,0.8968955135594127,pre_fecal
O_Day_0_Abx_B,0.7657820930263425,0.6655065160992547,0.6293889321034,0.6658537799093096,0.8145861342091261,0.6704284199403459,0.828570944985059,0.8002826356492498,0.6720448960380757,0.7672418980095295,0.9097557068355752,0.9261788898054875,0.0,0.8972698083573236,0.6524342668861604,0.8061613916218723,0.6980023666589585,0.7463189029173779,0.8074242475827693,0.742636354592818,0.6983061973622575,0.7765145231401681,0.7197164097682217,0.8112840733294038,0.9039610887599104,0.7369676322387732,0.7722752378932548,0.6680726973958149,0.9227510504313453,0.8885350325663239,0.798680056884388,0.7369307430012411,0.7562384220439459,0.8773455115790725,0.8132905310195612,pre_oral
F_Day_3_Abx_D,0.946221054104983,0.8872465757985338,0.7696119183797612,0.9630630812437797,0.4286685383290013,0.7278221938089212,0.4481877778531854,0.9962645688414884,0.8773659723556354,0.5626639166828395,0.8747224724911936,0.932799914583253,0.8972698083573236,0.0,0.7151055025572801,0.9463393941968119,0.9333207046789165,0.5592653327799655,0.9942313455199279,0.4710799588230597,0.9078550255153093,0.6732444030733792,0.9529350172917824,0.9733840304182511,0.9077827110185568,0.7473170902485795,0.5064806581543422,0.6237619436295623,0.9196877171298197,0.8004055118493089,0.9781945004256914,0.8190048568331353,0.9589729277142063,0.4938630052880637,0.46544563236262093,post_fecal
O_Day_7_Abx_A,0.7150865007744118,0.6111548393167935,0.6821124704720988,0.755417756501492,0.7884303976382215,0.6562476972227286,0.7563517938763022,0.8723499181966844,0.6615833087104637,0.6856880611222513,0.8389791532794111,0.9195946095247343,0.6524342668861604,0.7151055025572801,0.0,0.7654238578894763,0.6537003880996052,0.7160214071881503,0.8802226798970595,0.6621069800992858,0.6541909286852665,0.6629147296092376,0.7405767252900772,0.8338669709911707,0.897359452927086,0.6008391023641333,0.7128332458703863,0.6450361670586187,0.8997172229743293,0.7214023388331587,0.8507106315684982,0.5656026881178108,0.7979854756179179,0.815338307896096,0.7673687100525455,post_oral
KP_Exp_8_D0_OR_AVN2,0.906175977168476,0.8254254901970266,0.7772328587158666,0.7869779338866307,0.9484335236829718,0.8133739520821912,0.9630108279885515,0.8160168475050176,0.7851321253622497,0.9010181123938721,0.5436456750193894,0.6607293472256554,0.8061613916218723,0.9463393941968119,0.7654238578894763,0.0,0.8180921576079901,0.8972016275577361,0.8290118461209002,0.8865432222526718,0.8013167246650857,0.8852152337601723,0.8261987877344302,0.6941497001734483,0.5668686695996397,0.8292895939863504,0.8875777279627884,0.7637998572750265,0.7572321119094796,0.9544473816068219,0.6844543199200188,0.8289438287608402,0.844338764623166,0.9653096023672678,0.9344704286671343,pre_oral
O_Day_3_Abx_E,0.7754068658207659,0.5901157239840675,0.7145464128398841,0.704749982233556,0.9217808790487659,0.7343256991380434,0.9373511229674951,0.7698374799892064,0.6304367262520393,0.8644781906551887,0.9197494924366623,0.9531935375145091,0.6980023666589585,0.9333207046789165,0.6537003880996052,0.8180921576079901,0.0,0.8878921064776877,0.7693554896017094,0.8696670628518463,0.6483240913600059,0.7394726934168809,0.7378523227998297,0.8730472379138684,0.9487354225546286,0.753660751682647,0.7556003851088636,0.7251922939439301,0.94838308431749,0.7775344231765201,0.8096060473253666,0.7205476202247082,0.6973920013458342,0.9276445871897874,0.9265660658456464,post_oral
F_Day_3_Abx_A,0.9336390297731076,0.7864850868918722,0.5781011030677127,0.8976665855533686,0.43245818279254994,0.6092153162855612,0.5259417874979735,0.9437247459331444,0.8268944391801152,0.49334539522886744,0.8594062740920069,0.8938011728471132,0.7463189029173779,0.5592653327799655,0.7160214071881503,0.8972016275577361,0.8878921064776877,0.0,0.9429850163812818,0.4404170670051521,0.8576327630682236,0.7087500310740092,0.879280080076519,0.9173554742451909,0.8553171761675076,0.6974859579711883,0.6493809988504979,0.49070395301670106,0.8955819096533191,0.7906465838282606,0.9152545061255901,0.7684805195955499,0.9204151378153584,0.5362223690391821,0.5216843058343393,post_fecal
KP_Exp_8_D8_AVN2,0.8841158611130208,0.7941729843393449,0.7480163020557976,0.7498152980748608,0.993304797212348,0.7706154831687633,0.994146278014515,0.17732136754346595,0.7832124528260379,0.9517252541382976,0.9813613152136592,0.9930796943640453,0.8074242475827693,0.9942313455199279,0.8802226798970595,0.8290118461209002,0.7693554896017094,0.9429850163812818,0.0,0.9565521818433633,0.772055048657002,0.845652572626541,0.8168068993453921,0.8203716861906902,0.9922432262721333,0.8800939017573521,0.8450928016078666,0.8045097152281809,0.9923265124616368,0.9967434032283161,0.34209931488868545,0.8825295534085625,0.7370744678760123,0.9942501127077198,0.9932700150146403,post_fecal
F_Day_7_Abx_E,0.8875538772648817,0.7664544045829721,0.6278299043157026,0.8715799862571225,0.3804327152413576,0.5705936399921522,0.4686876597922034,0.9593535261905339,0.8007477821873978,0.29690080329456214,0.7922371821014825,0.8980276304754631,0.742636354592818,0.4710799588230597,0.6621069800992858,0.8865432222526718,0.8696670628518463,0.4404170670051521,0.9565521818433633,0.0,0.8294245220217819,0.6688001414646505,0.8930629904307319,0.9204344364531674,0.8510171157876835,0.6519182190740476,0.6053581653576655,0.4835494125115922,0.8273557444001636,0.7798494848773796,0.9267374272132364,0.740564471108661,0.9084687490379857,0.5333299783330523,0.45297855484052524,post_fecal
